prefecture,year,flowering,fruiting
青森県,1989,,3.4
青森県,1990,3.4,2.2
青森県,1991,0.8,0.6
青森県,1992,4.5,4.1
青森県,1993,2.1,1.0
青森県,1994,1.7,1.3
青森県,1995,4.0,4.2
青森県,1996,0.7,0.6
青森県,1997,2.2,1.8
青森県,1998,1.7,1.4
青森県,1999,1.1,0.7
青森県,2000,4.6,4.7
青森県,2001,0.3,0.2
青森県,2002,1.2,1.0
青森県,2003,2.5,2.4
青森県,2004,1.1,0.8
青森県,2005,3.8,3.4
青森県,2006,0.5,0.2
青森県,2007,1.7,0.8
青森県,2008,2.4,1.6
青森県,2009,2.0,1.4
青森県,2010,1.6,0.7
青森県,2011,2.6,1.3
青森県,2012,1.3,0.4
青森県,2013,3.6,3.4
青森県,2014,1.7,0.7
青森県,2015,2.8,2.0
青森県,2016,1.4,0.5
青森県,2017,2.0,1.2
青森県,2018,2.0,1.2
青森県,2019,1.6,0.6
青森県,2020,3.2,2.3
青森県,2021,2.0,1.0
青森県,2022,3.8,2.9
青森県,2023,0.5,0.1
青森県,2024,3.7,3.8
青森県,2025,0.5,
岩手県,1989,,
岩手県,1990,4.3,3.3
岩手県,1991,0.7,0.4
岩手県,1992,2.3,2.2
岩手県,1993,3.3,1.9
岩手県,1994,0.9,0.6
岩手県,1995,3.6,3.6
岩手県,1996,0.9,1.2
岩手県,1997,2.2,1.5
岩手県,1998,1.4,1.0
岩手県,1999,1.1,0.8
岩手県,2000,4.6,4.4
岩手県,2001,0.9,0.6
岩手県,2002,1.3,1.2
岩手県,2003,2.5,1.8
岩手県,2004,1.0,0.4
岩手県,2005,4.0,4.3
岩手県,2006,0.4,0.2
岩手県,2007,1.5,1.5
岩手県,2008,2.1,1.5
岩手県,2009,1.8,1.1
岩手県,2010,1.1,0.7
岩手県,2011,3.2,1.3
岩手県,2012,0.7,0.0
岩手県,2013,4.0,3.8
岩手県,2014,0.3,0.2
岩手県,2015,4.0,4.2
岩手県,2016,0.3,0.0
岩手県,2017,1.4,1.2
岩手県,2018,2.8,1.8
岩手県,2019,0.8,0.1
岩手県,2020,1.8,1.3
岩手県,2021,1.0,0.7
岩手県,2022,3.3,2.7
岩手県,2023,0.4,0.0
岩手県,2024,3.2,2.7
岩手県,2025,,0.4
宮城県,1989,,1.9
宮城県,1990,2.5,3.3
宮城県,1991,1.2,0.5
宮城県,1992,1.5,1.3
宮城県,1993,2.3,1.7
宮城県,1994,0.4,0.9
宮城県,1995,4.3,4.0
宮城県,1996,0.2,0.0
宮城県,1997,0.5,0.7
宮城県,1998,0.5,0.2
宮城県,1999,0.2,0.0
宮城県,2000,2.7,3.7
宮城県,2001,0.8,0.7
宮城県,2002,1.5,1.5
宮城県,2003,0.7,0.2
宮城県,2004,1.7,2.0
宮城県,2005,4.7,4.3
宮城県,2006,1.0,0.2
宮城県,2007,1.5,1.3
宮城県,2008,3.7,1.7
宮城県,2009,3.3,2.0
宮城県,2010,3.2,0.5
宮城県,2011,3.7,1.5
宮城県,2012,2.8,2.2
宮城県,2013,3.7,5.0
宮城県,2014,1.3,0.7
宮城県,2015,3.3,3.4
宮城県,2016,0.5,0.0
宮城県,2017,0.7,0.7
宮城県,2018,3.0,2.5
宮城県,2019,0.3,0.3
宮城県,2020,1.7,0.7
宮城県,2021,4.0,1.7
宮城県,2022,4.0,1.3
宮城県,2023,0.8,0.0
宮城県,2024,3.7,4.2
宮城県,2025,,
秋田県,1989,,
秋田県,1990,,
秋田県,1991,,
秋田県,1992,,
秋田県,1993,,
秋田県,1994,,
秋田県,1995,,
秋田県,1996,,
秋田県,1997,,
秋田県,1998,,
秋田県,1999,,
秋田県,2000,,
秋田県,2001,,
秋田県,2002,,
秋田県,2003,,
秋田県,2004,1.1,0.5
秋田県,2005,4.3,3.9
秋田県,2006,0.5,0.2
秋田県,2007,1.8,1.6
秋田県,2008,1.3,1.0
秋田県,2009,1.9,1.2
秋田県,2010,0.8,0.3
秋田県,2011,1.8,1.1
秋田県,2012,0.9,0.7
秋田県,2013,3.6,2.9
秋田県,2014,0.8,0.4
秋田県,2015,2.4,1.8
秋田県,2016,0.5,0.1
秋田県,2017,1.0,0.7
秋田県,2018,2.2,1.7
秋田県,2019,0.6,0.2
秋田県,2020,2.8,2.0
秋田県,2021,1.0,0.2
秋田県,2022,3.7,2.8
秋田県,2023,0.3,0.1
秋田県,2024,2.6,2.6
秋田県,2025,,0.3
山形県,1989,,0.5
山形県,1990,,
山形県,1991,,
山形県,1992,,
山形県,1993,,
山形県,1994,,
山形県,1995,,
山形県,1996,,
山形県,1997,,
山形県,1998,,
山形県,1999,,
山形県,2000,,
山形県,2001,,
山形県,2002,,
山形県,2003,,
山形県,2004,1.0,0.4
山形県,2005,4.9,4.9
山形県,2006,0.9,0.0
山形県,2007,3.0,1.3
山形県,2008,2.5,1.5
山形県,2009,3.1,1.3
山形県,2010,1.1,0.2
山形県,2011,3.3,2.0
山形県,2012,0.8,0.2
山形県,2013,2.3,2.3
山形県,2014,0.6,0.2
山形県,2015,3.4,3.5
山形県,2016,0.7,0.1
山形県,2017,0.9,0.4
山形県,2018,4.0,3.9
山形県,2019,0.1,0.0
山形県,2020,0.7,0.3
山形県,2021,1.9,1.5
山形県,2022,3.4,3.1
山形県,2023,0.7,0.1
山形県,2024,3.3,2.9
山形県,2025,,
